Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.Q.GBP.EUR.SP00.A
,EXR.Q.GBP.EUR.SP00.A
,"ECB reference exchange rate, UK pound sterling/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[UK pound sterling ]
,,obs. status
2022Q1,0.83641,Normal value (A)
2021Q4,0.84788,Normal value (A)
2021Q3,0.85528,Normal value (A)
2021Q2,0.86209,Normal value (A)
2021Q1,0.87393,Normal value (A)
2020Q4,0.90335,Normal value (A)
2020Q3,0.90504,Normal value (A)
2020Q2,0.88741,Normal value (A)
2020Q1,0.86225,Normal value (A)
2019Q4,0.86078,Normal value (A)
2019Q3,0.90209,Normal value (A)
2019Q2,0.87477,Normal value (A)
2019Q1,0.87251,Normal value (A)
2018Q4,0.88665,Normal value (A)
2018Q3,0.89237,Normal value (A)
2018Q2,0.87616,Normal value (A)
2018Q1,0.88337,Normal value (A)
2017Q4,0.88731,Normal value (A)
2017Q3,0.89779,Normal value (A)
2017Q2,0.86112,Normal value (A)
2017Q1,0.86009,Normal value (A)
2016Q4,0.86908,Normal value (A)
2016Q3,0.84973,Normal value (A)
2016Q2,0.78678,Normal value (A)
2016Q1,0.77037,Normal value (A)
2015Q4,0.72203,Normal value (A)
2015Q3,0.71735,Normal value (A)
2015Q2,0.72105,Normal value (A)
2015Q1,0.74336,Normal value (A)
2014Q4,0.78911,Normal value (A)
2014Q3,0.79378,Normal value (A)
2014Q2,0.81471,Normal value (A)
2014Q1,0.82787,Normal value (A)
2013Q4,0.84074,Normal value (A)
2013Q3,0.85453,Normal value (A)
2013Q2,0.85056,Normal value (A)
2013Q1,0.85111,Normal value (A)
2012Q4,0.80740,Normal value (A)
2012Q3,0.79153,Normal value (A)
2012Q2,0.80998,Normal value (A)
2012Q1,0.83448,Normal value (A)
2011Q4,0.85727,Normal value (A)
2011Q3,0.87760,Normal value (A)
2011Q2,0.88274,Normal value (A)
2011Q1,0.85386,Normal value (A)
2010Q4,0.85944,Normal value (A)
2010Q3,0.83305,Normal value (A)
2010Q2,0.85239,Normal value (A)
2010Q1,0.88760,Normal value (A)
2009Q4,0.90483,Normal value (A)
2009Q3,0.87161,Normal value (A)
2009Q2,0.87883,Normal value (A)
2009Q1,0.90878,Normal value (A)
2008Q4,0.83907,Normal value (A)
2008Q3,0.79504,Normal value (A)
2008Q2,0.79286,Normal value (A)
2008Q1,0.75698,Normal value (A)
2007Q4,0.70782,Normal value (A)
2007Q3,0.68001,Normal value (A)
2007Q2,0.67880,Normal value (A)
2007Q1,0.67062,Normal value (A)
2006Q4,0.67314,Normal value (A)
2006Q3,0.67977,Normal value (A)
2006Q2,0.68778,Normal value (A)
2006Q1,0.68625,Normal value (A)
2005Q4,0.67996,Normal value (A)
2005Q3,0.68344,Normal value (A)
2005Q2,0.67856,Normal value (A)
2005Q1,0.69362,Normal value (A)
2004Q4,0.69507,Normal value (A)
2004Q3,0.67216,Normal value (A)
2004Q2,0.66704,Normal value (A)
2004Q1,0.67987,Normal value (A)
2003Q4,0.69753,Normal value (A)
2003Q3,0.69888,Normal value (A)
2003Q2,0.70169,Normal value (A)
2003Q1,0.66961,Normal value (A)
2002Q4,0.63611,Normal value (A)
2002Q3,0.63533,Normal value (A)
2002Q2,0.62853,Normal value (A)
2002Q1,0.61471,Normal value (A)
2001Q4,0.62090,Normal value (A)
2001Q3,0.61940,Normal value (A)
2001Q2,0.61437,Normal value (A)
2001Q1,0.63260,Normal value (A)
2000Q4,0.60046,Normal value (A)
2000Q3,0.61245,Normal value (A)
2000Q2,0.61035,Normal value (A)
2000Q1,0.61442,Normal value (A)
1999Q4,0.63632,Normal value (A)
1999Q3,0.65492,Normal value (A)
1999Q2,0.65784,Normal value (A)
1999Q1,0.68679,Normal value (A)
